"Latest: Time (min)";"Latest: Temperatur metall (°C)";"Latest: Temperatur svart (°C)"
2,31666666667;23,6685764038;28,1789429586
2,33333333333;23,6801939039;28,2501390273
2,35;23,6990717743;28,3227996623
2,36666666667;23,7223051204;28,3867509745
2,38333333333;23,7513453369;28,4536193949
2,4;23,7673167693;28,5292227102
2,41666666667;23,7861914768;28,5932057383
2,43333333333;23,8050655168;28,6601081308
2,45;23,8341012129;28,7226577691
2,46666666667;23,8573286586;28,7997680557
2,48333333333;23,8776518736;28,8637963481
2,5;23,8878132037;28,9234692638
2,51666666667;23,9066837589;28,9947988417
2,53333333333;23,9299081975;29,0646869123
2,55;23,9589374283;29,1185687525
2,56666666667;23,9807084036;29,1870257782
2,58333333333;23,9879652167;29,2613251037
2,6;24,0169915857;29,3254402815
2,61666666667;24,0387604448;29,3997719237
2,63333333333;24,0561749731;29,4639155356
2,65;24,0779424428;29,5222396573
2,66666666667;24,0968069695;29,5893264673
2,68333333333;24,1113177603;29,6608053526
2,7;24,1461423156;29,716250128
2,71666666667;24,1548481616;29,7892202587
2,73333333333;24,1737104315;29,8549096519
2,75;24,1969247957;29,9089326684
2,76666666667;24,2244908117;29,9761114176
2,78333333333;24,2448019003;30,0506119485
2,8;24,2520557157;30,1017519627
2,81666666667;24,2738167093;30,1748266204
2,83333333333;24,2955770317;30,24061167
2,85;24,3260403739;30,2947144612
2,86666666667;24,3463485614;30,357605462
2,88333333333;24,3666561922;30,4278284048
2,9;24,3782603058;30,484899539
2,91666666667;24,4072698152;30,5566236271
2,93333333333;24,4275758231;30,6166544256
2,95;24,4478813056;30,669377154
2,96666666667;24,4623849043;30,7309022666
2,98333333333;24,4797888784;30,8027026061
3;24,4971924812;30,8525367331
3,01666666667;24,5319985931;30,9229098444
3,03333333333;24,536349256;30,985971593
3,05;24,5581022393;31,0446501556
3,06666666667;24,5842051002;31,1136180044
3,08333333333;24,6059568964;31,1649916223
3,1;24,6291582347;31,2222513394
3,11666666667;24,648008891;31,2854021614
3,13333333333;24,6567090654;31,338287548
3,15;24,6784591515;31,4073530728
3,16666666667;24,7045586059;31,4573301451
3,18333333333;24,7248577021;31,5249661539
3,2;24,7480561663;31,5911542814
3,21666666667;24,7567554544;31,642649467
3,23333333333;24,7857525558;31,7088777467
3,25;24,8031504355;31,7692390422
3,26666666667;24,8234476084;31,8193093428
3,28333333333;24,8799877894;31,8826526816
3,3;24,9176797175;31,9327533823
3,31666666667;24,9249280304;31,991712815
3,33333333333;24,9452230807;32,0477418918
3,35;24,9684170245;32,112639321
3,36666666667;24,9916105533;32,1687059847
3,38333333333;25,010454998;32,2144576591
3,4;25,0191523458;32,2823690978
3,41666666667;25,0394459455;32,3370126371
3,43333333333;25,0597392546;32,394628512
3,45;25,0843807505;32,4419174768
3,46666666667;25,1090218432;32,5025255972
3,48333333333;25,1293142149;32,5601973408
3,5;25,1336625466;32,6045736787
3,51666666667;25,1684487862;32,6726403232
3,53333333333;25,1814934411;32,7214879779
3,55;25,201784933;32,7718310516
3,56666666667;25,2104812163;32,8221896539
3,58333333333;25,2293230221;32,8873828504
3,6;25,251063334;32,9422248668
3,61666666667;25,2713540742;32,9881880941
3,63333333333;25,2974418728;33,0460317366
3,65;25,3061377343;33,0920251777
3,66666666667;25,3249786492;33,1513915504
3,68333333333;25,3438194074;33,1959312219
3,7;25,3684570958;33,258308375
3,71666666667;25,387297516;33,2969355256
3,73333333333;25,407587047;33,3593539386
3,75;25,4206302371;33,4039542869
3,76666666667;25,4293256636;33,4574921774
3,78333333333;25,4481656657;33,5110492614
3,8;25,4757008459;33,5571833487
3,81666666667;25,4959897783;33,6063096832
3,83333333333;25,5148293965;33,6688579234
3,85;25,5206261828;33,7195118904
3,86666666667;25,5481608011;33,7716742056
3,88333333333;25,564101813;33,8059625938
3,9;25,5829411186;33,855173324
3,91666666667;25,5901869858;33,9163376324
3,93333333333;25,6119245269;33,9670793165
3,95;25,6293144991;34,0044010581
3,96666666667;25,6452552642;34,0686177593
3,98333333333;25,671340074;34,1164261838
4;25,6843824468;34,195645318
4,01666666667;25,6959756512;34,2449935613
4,03333333333;25,7104671381;34,2988484017
4,05;25,7307551901;34,3437437915
4,06666666667;25,7539415016;34,3856596492
4,08333333333;25,7713312183;34,4425664194
4,1;25,7800260729;34,4770217822
4,11666666667;25,7974157778;34,5399633605
4,13333333333;25,809008913;34,5699460827
4,15;25,829296902;34,626932107
4,16666666667;25,8481357572;34,6644364523
4,18333333333;25,8727712059;34,7154597079
4,2;25,8887118099;34,7634999584
4,21666666667;25,9003049886;34,7920323251
4,23333333333;25,9075507312;34,8431060719
4,25;25,9350846017;34,8791704109
4,26666666667;25,951025304;34,9347896272
4,28333333333;25,9684152002;34,9633603323
4,3;25,9800084895;35,0084851439
4,31666666667;25,9945001317;35,0461015278
4,33333333333;26,0017459664;35,0972779568
4,35;26,020585182;35,1364270554
4,36666666667;26,0365261116;35,1650438208
4,38333333333;26,0626113877;35,2177762562
4,4;26,066958949;35,2599784664
4,41666666667;26,0843492405;35,2991792425
4,43333333333;26,0944936127;35,3383926038
4,45;26,1176808538;35,3655477174
4,46666666667;26,1379698163;35,4047825046
4,48333333333;26,1495635652;35,4379911166
4,5;26,1626065838;35,4802698652
4,51666666667;26,1828958356;35,5240742748
4,53333333333;26,1872435508;35,5603383408
4,55;26,2031852304;35,5860320665
4,56666666667;26,211880731;35,6328996468
4,58333333333;26,2321703434;35,6601215976
4,6;26,2539093933;35,703992404
4,61666666667;26,2669529162;35,737284629
4,63333333333;26,2814458041;35,7599892964
4,65;26,2857936882;35,8023831494
4,66666666667;26,3060839259;35,8357034314
4,68333333333;26,3278236766;35,8629725929
4,7;26,3394183025;35,9084354755
4,71666666667;26,3539116777;35,9357218041
4,73333333333;26,3568103654;35,9630146053
4,75;26,3713038679;35,9994151083
4,76666666667;26,3828987483;36,0388620625
4,78333333333;26,4002912031;36,0631438947
4,8;26,4133356524;36,1102047105
4,81666666667;26,4336272073;36,1360205529
4,83333333333;26,449570738;36,1633614039
4,85;26,4524695778;36,1967870082
4,86666666667;26,4713121592;36,2363028163
4,88333333333;26,4800088079;36,2621476114
4,9;26,501750636;36,3077706661
4,91666666667;26,5191443153;36,3366749367
4,93333333333;26,5350886951;36,3610212113
4,95;26,545235207;36,3914615803
4,96666666667;26,5481342232;36,4340921925
4,98333333333;26,5640789151;36,4615063003
5;26,574225629;36,4919744466
5,01666666667;26,591620165;36,5254991969
5,03333333333;26,5988679525;36,5529361902
5,05;26,6220611306;36,5742808488
5,06666666667;26,6365570707;36,6017301365
5,08333333333;26,6452547113;36,6368143322
5,1;26,6597509087;36,6535977492
5,11666666667;26,6655494335;36,6825934297
5,13333333333;26,6698983445;36,7131236257
5,15;26,6916431257;36,7375540232
5,16666666667;26,6974417985;36,7436624911
5,18333333333;26,7133882907;36,7650448698
5,2;26,7206367659;36,7879593004
5,21666666667;26,7322344179;36,8032383168
5,23333333333;26,7365835668;36,8292176662
5,25;26,7380332867;36,8399168866
5,26666666667;26,7467316437;36,8597897224
5,28333333333;26,7539803243;36,8659051887
5,3;26,7597793016;36,8674341103
5,31666666667;26,7670280646;36,8796662759
5,33333333333;26,7757266413;36,8934291486
5,35;26,7800759548;36,9041348412
5,36666666667;26,7844252851;36,9102528658
5,38333333333;26,7873248481;36,9148416164
5,4;26,7931239968;36,9148416164
5,41666666667;26,8003729754;36,9148416164
5,43333333333;26,8061721927;36,9179008941
5,45;26,8192205445;36,9163712442
5,46666666667;26,8206703711;36,9163712442
5,48333333333;26,826469697;36,9148416164
5,5;26,8250198626;36,9117824272
5,51666666667;26,8279195334;36,9010759614
5,53333333333;26,8337188986;36,8918998523
5,55;26,8337188986;36,8781371781
5,56666666667;26,8322690543;36,8674341103
5,58333333333;26,8337188986;36,8659051887
5,6;26,8322690543;36,861318556
5,61666666667;26,8337188986;36,8429740043
5,63333333333;26,8337188986;36,8307460605
5,65;26,8337188986;36,807822448
5,66666666667;26,8337188986;36,7894871037
5,68333333333;26,8322690543;36,772682468
5,7;26,8322690543;36,7528258453
5,71666666667;26,8337188986;36,7390811076
5,73333333333;26,830819212;36,723811241
5,75;26,8322690543;36,7100702164
5,76666666667;26,8279195334;36,6734360575
